Unit:(mV)
                     CH1         CH2
Frequency              ?  72.935 kHz
00582              -2.00     1080.00
00583               2.00     1080.00
00584              -2.00     1080.00
00585              -2.00     1080.00
00586              -2.00     1080.00
00587               0.00     1080.00
00588              -2.00     1080.00
00589              -2.00     1120.00
00590              -2.00     1120.00
00591               2.00     1120.00
00592              -2.00     1080.00
00593               2.00     1080.00
00594              -6.00     1120.00
00595              -2.00     1080.00
00596              -2.00     1120.00
00597              -4.00     1120.00
00598              -2.00     1120.00
00599              -4.00     1080.00
00600              -2.00     1120.00
00601              -2.00     1120.00
00602              -4.00     1120.00
00603              -2.00     1120.00
00604              -4.00     1120.00
00605              -2.00     1120.00
00606              -2.00     1120.00
00607              -6.00     1120.00
00608               2.00     1120.00
00609              -4.00     1120.00
00610              -6.00     1120.00
00611               8.00     1120.00
00612             -10.00     1120.00
00613               2.00     1120.00
00614              -2.00     1120.00
00615              -6.00     1120.00
00616              10.00     1120.00
00617             -10.00     1120.00
00618               6.00     1120.00
00619              -4.00     1120.00
00620              -6.00     1120.00
00621               4.00     1120.00
00622              -6.00     1120.00
00623               4.00     1120.00
00624               0.00     1120.00
00625              -4.00     1120.00
00626              -2.00     1120.00
00627               0.00     1120.00
00628              -4.00     1120.00
00629              -2.00     1120.00
00630               2.00     1080.00
00631              -2.00     1120.00
00632              -4.00     1120.00
00633              -2.00     1120.00
00634               2.00     1080.00
00635             -10.00     1080.00
00636              -2.00     1120.00
00637               2.00     1080.00
00638             -10.00     1080.00
00639              -2.00     1120.00
00640              -2.00     1080.00
00641              -6.00     1080.00
00642              -2.00     1120.00
00643              -2.00     1080.00
00644              -2.00     1080.00
00645              -4.00     1080.00
00646              -2.00     1080.00
00647               2.00     1120.00
00648              -2.00     1080.00
00649               0.00     1080.00
00650              -2.00     1080.00
00651               2.00     1080.00
00652               2.00     1040.00
00653               0.00     1040.00
00654              -6.00     1080.00
00655               2.00     1080.00
00656              -2.00     1040.00
00657               2.00     1040.00
00658               2.00     1040.00
00659              -4.00     1040.00
00660              -2.00     1000.00
00661              -2.00     1040.00
00662              -2.00     1040.00
00663              -2.00     1040.00
00664              -4.00     1040.00
00665              -2.00     1000.00
00666              -2.00     1000.00
00667              -4.00     1000.00
00668               2.00      960.00
00669              -6.00     1000.00
00670              -2.00     1000.00
00671              -4.00      960.00
00672              -2.00      960.00
00673              -2.00      960.00
00674              -2.00      960.00
00675              -4.00      960.00
00676               2.00      960.00
00677              -6.00      960.00
00678              -4.00      960.00
00679              -2.00      960.00
00680              -6.00      920.00
00681              -2.00      920.00
00682              -2.00      920.00
00683              -4.00      920.00
00684              -2.00      920.00
00685              -4.00      920.00
00686              -2.00      880.00
00687              -2.00      880.00
00688              -6.00      880.00
00689              -4.00      880.00
00690              -2.00      880.00
00691              -4.00      880.00
00692               0.00      880.00
00693              -4.00      880.00
00694              -4.00      800.00
00695              -6.00      840.00
00696              -2.00      840.00
00697               2.00      800.00
00698              -6.00      800.00
00699              -4.00      800.00
00700              -2.00      800.00
00701              -6.00      800.00
00702               2.00      800.00
00703              -4.00      800.00
00704             -10.00      760.00
00705               2.00      760.00
00706              -4.00      760.00
00707              -4.00      760.00
00708               2.00      760.00
00709              -6.00      720.00
00710              -4.00      760.00
00711               2.00      720.00
00712             -10.00      720.00
00713               2.00      720.00
00714              -2.00      680.00
00715             -10.00      680.00
00716               4.00      680.00
00717              -6.00      720.00
00718              -4.00      640.00
00719               2.00      680.00
00720              -6.00      640.00
00721              -6.00      640.00
00722               4.00      640.00
00723             -10.00      640.00
00724               2.00      600.00
00725              -2.00      600.00
00726              -4.00      600.00
00727              -2.00      600.00
00728              -6.00      600.00
00729              -2.00      560.00
00730              -2.00      600.00
00731              -6.00      560.00
00732              -2.00      560.00
00733              -6.00      520.00
00734               4.00      560.00
00735              -8.00      520.00
00736              -4.00      480.00
00737              -4.00      520.00
00738              -6.00      480.00
00739               4.00      480.00
00740              -4.00      440.00
00741              -6.00      480.00
00742              -2.00      440.00
00743              -4.00      440.00
00744              -2.00      440.00
00745              -2.00      440.00
00746              -2.00      440.00
00747              -2.00      400.00
00748              -2.00      400.00
00749              -4.00      400.00
00750               0.00      400.00
00751              -2.00      360.00
00752              -6.00      320.00
00753               2.00      400.00
00754              -2.00      360.00
00755              -2.00      320.00
00756               0.00      320.00
00757              -2.00      360.00
00758              -4.00      320.00
00759              -4.00      280.00
00760              -4.00      280.00
00761              -6.00      280.00
00762              -4.00      240.00
00763              -4.00      280.00
00764              -4.00      280.00
00765              -4.00      240.00
00766              -4.00      240.00
00767              -6.00      200.00
00768               0.00      240.00
00769              -6.00      160.00
00770              -4.00      160.00
00771              -4.00      200.00
00772              -6.00      160.00
00773              -2.00      160.00
00774              -2.00      120.00
00775              -4.00      120.00
00776              -2.00      120.00
00777              -4.00      120.00
00778               2.00      120.00
00779              -4.00       80.00
00780              -2.00       80.00
00781              -2.00       80.00
00782              -2.00       80.00
00783               2.00       40.00
00784              -2.00       40.00
00785              -4.00       40.00
00786               4.00       40.00
00787             112.00        0.00
00788            -134.00       40.00
00789            -130.00      -80.00
00790             250.00      120.00
00791            -250.00      -40.00
00792             148.00      160.00
00793             -54.00       40.00
00794             186.00      -80.00
00795            -250.00     -200.00
00796             250.00     -200.00
00797             -82.00      -80.00
00798             -22.00     -120.00
00799             -68.00        0.00
00800             214.00      -40.00
00801            -250.00     -120.00
00802             250.00      -80.00
00803            -250.00     -160.00
00804             206.00     -240.00
00805            -124.00     -240.00
00806              92.00     -280.00
00807             -84.00     -200.00
00808              10.00     -160.00
00809              12.00     -120.00
00810             -60.00     -200.00
00811              78.00     -200.00
00812             -58.00     -320.00
00813              44.00     -320.00
00814             -20.00     -320.00
00815             -12.00     -280.00
00816              20.00     -240.00
00817             -52.00     -240.00
00818              54.00     -240.00
00819             -58.00     -320.00
00820              58.00     -360.00
00821             -42.00     -360.00
00822              34.00     -360.00
00823             -36.00     -360.00
00824              20.00     -320.00
00825             -26.00     -360.00
00826              12.00     -360.00
00827              -6.00     -400.00
00828              -2.00     -400.00
00829               4.00     -400.00
00830              -6.00     -440.00
00831              -6.00     -440.00
00832               0.00     -400.00
00833             -10.00     -440.00
00834               0.00     -440.00
00835              -6.00     -480.00
00836               0.00     -480.00
00837              -2.00     -480.00
00838              -2.00     -480.00
00839              -4.00     -520.00
00840              -6.00     -520.00
00841              -2.00     -520.00
00842              -4.00     -520.00
00843              -2.00     -560.00
00844              -2.00     -560.00
00845              -2.00     -560.00
00846              -4.00     -560.00
00847              -2.00     -560.00
00848              -4.00     -560.00
00849              -2.00     -560.00
00850               2.00     -560.00
00851             -10.00     -640.00
00852               6.00     -640.00
00853              -2.00     -640.00
00854             -12.00     -640.00
00855              10.00     -640.00
00856              -4.00     -680.00
00857             -12.00     -680.00
00858               8.00     -640.00
00859              -6.00     -680.00
00860             -10.00     -680.00
00861               4.00     -680.00
00862             -10.00     -680.00
00863              -4.00     -720.00
00864              -2.00     -680.00
00865              -8.00     -720.00
00866              -6.00     -720.00
00867              -2.00     -760.00
00868             -18.00     -720.00
00869              10.00     -720.00
00870              -8.00     -760.00
00871              -4.00     -760.00
00872              -4.00     -800.00
00873              -4.00     -800.00
00874              -2.00     -800.00
00875             -10.00     -800.00
00876              -4.00     -800.00
00877              -2.00     -800.00
00878              -6.00     -800.00
00879               2.00     -800.00
00880               2.00     -840.00
00881             -20.00     -880.00
00882              18.00     -840.00
00883             -12.00     -840.00
00884               2.00     -840.00
00885               4.00     -840.00
00886             -24.00     -880.00
00887              20.00     -880.00
00888             -10.00     -880.00
00889              -6.00     -880.00
00890               4.00     -880.00
00891             -12.00     -880.00
00892              -4.00     -920.00
00893               2.00     -880.00
00894              -4.00     -880.00
00895              -8.00     -880.00
00896               2.00     -920.00
00897              -6.00     -960.00
00898               2.00     -920.00
00899               0.00     -920.00
00900             -12.00     -960.00
00901               6.00     -960.00
00902             -12.00     -960.00
00903              -4.00     -960.00
00904               2.00     -960.00
00905              -4.00     -960.00
00906              -4.00     -960.00
00907              -4.00    -1000.00
00908               2.00    -1000.00
00909              -6.00     -960.00
00910              -2.00     -920.00
00911              -2.00    -1000.00
00912              -6.00    -1000.00
00913              -4.00    -1000.00
00914              -2.00    -1000.00
00915              -6.00    -1040.00
00916              -4.00    -1040.00
00917               2.00    -1040.00
00918              -4.00    -1040.00
00919              -2.00    -1040.00
00920              -2.00    -1040.00
00921              -4.00    -1040.00
00922              -2.00    -1040.00
00923              -2.00    -1000.00
00924              -4.00    -1040.00
00925              -4.00    -1040.00
00926              -2.00    -1080.00
00927              -8.00    -1080.00
00928              -2.00    -1080.00
00929              -6.00    -1080.00
00930              -4.00    -1080.00
00931              -4.00    -1080.00
00932              -4.00    -1080.00
00933              -4.00    -1080.00
00934              -6.00    -1120.00
00935              -4.00    -1080.00
00936              -2.00    -1080.00
00937              -2.00    -1120.00
00938              -4.00    -1120.00
00939              -4.00    -1120.00
00940              -4.00    -1080.00
00941              -2.00    -1080.00
00942              -6.00    -1120.00
00943              -4.00    -1120.00
00944               2.00    -1120.00
00945              -4.00    -1120.00
00946              -4.00    -1080.00
00947               2.00    -1120.00
00948              -2.00    -1120.00
00949              -4.00    -1120.00
00950              -2.00    -1120.00
00951              -6.00    -1120.00
00952              -2.00    -1120.00
00953              -4.00    -1120.00
00954              -4.00    -1120.00
00955              -2.00    -1120.00
00956              -6.00    -1080.00
00957              -4.00    -1120.00
00958              -4.00    -1120.00
00959              -4.00    -1120.00
00960              -4.00    -1120.00
00961              -6.00    -1120.00
00962              -4.00    -1080.00
00963              -4.00    -1120.00
00964              -6.00    -1120.00
00965              -4.00    -1120.00
00966              -4.00    -1120.00
00967              -6.00    -1120.00
00968              -2.00    -1120.00
00969              -2.00    -1120.00
00970              -4.00    -1120.00
00971              -2.00    -1120.00
00972              -4.00    -1120.00
00973              -2.00    -1080.00
00974              -4.00    -1120.00
00975              -4.00    -1080.00
00976               2.00    -1120.00
00977              -4.00    -1120.00
00978               0.00    -1120.00
00979              -4.00    -1120.00
00980              -2.00    -1080.00
00981              -2.00    -1080.00
00982              -6.00    -1080.00
00983              -2.00    -1120.00
00984              -4.00    -1080.00
00985              -2.00    -1080.00
00986               2.00    -1080.00
00987              -6.00    -1040.00
00988              -6.00    -1040.00
00989              -6.00    -1080.00
00990              -4.00    -1040.00
00991              -2.00    -1080.00
00992              -4.00    -1040.00
00993              -4.00    -1040.00
00994              -6.00    -1040.00
00995              -6.00    -1040.00
00996               0.00    -1040.00
00997              -4.00    -1040.00
00998              -4.00    -1040.00
00999              -4.00    -1040.00
01000              -6.00    -1000.00
01001              -2.00    -1000.00
01002              -4.00    -1000.00
01003              -2.00    -1000.00
01004              -2.00    -1000.00
01005              -4.00     -920.00
01006              -2.00    -1000.00
01007              -2.00    -1000.00
01008              -4.00    -1000.00
01009               2.00    -1000.00
01010              -4.00    -1000.00
01011               2.00     -960.00
01012              -4.00     -960.00
01013              -2.00     -960.00
01014              -4.00     -920.00
01015              -2.00     -960.00
01016              -6.00     -920.00
01017               2.00     -960.00
01018              -4.00     -960.00
01019              -6.00     -920.00
01020              -2.00     -920.00
01021              -6.00     -920.00
01022               2.00     -920.00
01023              -6.00     -880.00
01024              -2.00     -880.00
01025              -4.00     -880.00
01026              -4.00     -880.00
01027              -2.00     -880.00
01028              -6.00     -880.00
01029              -2.00     -880.00
01030              -4.00     -880.00
01031              -6.00     -880.00
01032               2.00     -840.00
01033              -6.00     -840.00
01034              -4.00     -840.00
01035              -4.00     -840.00
01036              -4.00     -840.00
01037              -4.00     -840.00
01038              -4.00     -840.00
01039              -2.00     -840.00
01040              -4.00     -800.00
01041              -4.00     -800.00
01042              -2.00     -800.00
01043              -2.00     -800.00
